# f10-hurt-knockout - Peacock hurt trigger, Gorilla coconut, Hippo knock-out trigger
covers: hurt trigger, knock out trigger, equipment gained mid battle, stat change popup
deterministic=true randomDecisions=0 randomEventLogs=0 stableOver25Runs=true orderOnlyAmbiguity=false winner=player
--- expected event sequence (fork sim) ---
000 board	Phase 1: Before battle
011 attack	Hippo attacks Peacock for 6.
012 ability	Peacock gave Peacock 3 attack.
013 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Gorilla.png" class="log-pet-icon" alt="Gorilla">(7/12/0xp) P1 <img src="assets/art/Public/Public/Pets/Peacock.png" class="log-pet-icon" alt="Peacock">(8/2/0xp) | O1 <img src="assets/art/Public/Public/Pets/Hippo.png" class="log-pet-icon" alt="Hippo">(6/9/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
014 attack	Peacock attacks Hippo for 8.
015 attack	Hippo attacks Peacock for 6.
016 ability	Peacock gave Peacock 3 attack.
017 death	Peacock fainted.
018 ability	Hippo gave Hippo 3 attack and 3 health.
019 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Gorilla.png" class="log-pet-icon" alt="Gorilla">(7/12/0xp) | O1 <img src="assets/art/Public/Public/Pets/Hippo.png" class="log-pet-icon" alt="Hippo">(9/4/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
020 attack	Gorilla attacks Hippo for 7.
021 attack	Hippo attacks Gorilla for 9.
022 ability	Gorilla gave Gorilla a Coconut.
023 death	Hippo fainted.
024 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Gorilla.png" class="log-pet-icon" alt="Gorilla"><img src="assets/art/Public/Public/Food/Coconut.png" class="log-inline-icon" alt="Coconut" onerror="if(!this.dataset.step){this.dataset.step='1';this.src='assets/art/Ailments/Ailments/Coconut.png';return;}this.remove()">(7/3/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
025 attack	Gorilla attacks Otter for 7.
026 attack	Otter attacks Gorilla for 0. (Coconut block)
027 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Gorilla.png" class="log-pet-icon" alt="Gorilla">(7/3/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/1/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
028 attack	Gorilla attacks Otter for 7.
029 attack	Otter attacks Gorilla for 2.
030 death	Otter fainted.
031 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Gorilla.png" class="log-pet-icon" alt="Gorilla">(7/1/0xp) | ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
032 board	Player is the winner
