# f09-toy-pogo-stick - Pogo Stick toy pushes the last enemy to the front
covers: toy, toy start-of-battle trigger, move event
deterministic=true randomDecisions=0 randomEventLogs=0 stableOver25Runs=true orderOnlyAmbiguity=false winner=player
--- expected event sequence (fork sim) ---
000 board	Phase 1: Before battle
014 board	{{toy:Pogo Stick}} ___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(3/10/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/8/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/8/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
015 attack	Pig attacks Cow for 4.
016 attack	Cow attacks Pig for 3.
017 board	{{toy:Pogo Stick}} ___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(3/10/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/5/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(3/4/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
018 attack	Pig attacks Cow for 4.
019 attack	Cow attacks Pig for 3.
020 death	Cow fainted.
021 board	{{toy:Pogo Stick}} ___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(3/10/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/2/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
022 attack	Pig attacks Otter for 4.
023 attack	Otter attacks Pig for 2.
024 death	Pig fainted.
025 board	{{toy:Pogo Stick}} ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(3/10/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/4/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
026 attack	Duck attacks Otter for 3.
027 attack	Otter attacks Duck for 2.
028 board	{{toy:Pogo Stick}} ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(3/8/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/1/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
029 attack	Duck attacks Otter for 3.
030 attack	Otter attacks Duck for 2.
031 death	Otter fainted.
032 board	{{toy:Pogo Stick}} ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(3/6/0xp) | ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
033 board	Player is the winner
