# f04-summon-sheep - Sheep faint summons two Rams, Horse reacts to each summon
covers: summon, double summon staging, friend-summoned trigger badge
deterministic=true randomDecisions=0 randomEventLogs=0 stableOver25Runs=true orderOnlyAmbiguity=false winner=player
--- expected event sequence (fork sim) ---
000 board	Phase 1: Before battle
014 attack	Cow attacks Ram for 4.
015 death	Ram fainted.
016 board	___ (-/-) ___ (-/-) P3 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) P2 <img src="assets/art/Public/Public/Pets/Horse.png" class="log-pet-icon" alt="Horse">(4/11/0xp) P1 <img src="assets/art/Public/Public/Pets/Ram.png" class="log-pet-icon" alt="Ram">(3/2/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(4/4/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/9/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
017 attack	Ram attacks Cow for 3.
018 attack	Cow attacks Ram for 4.
019 death	Ram fainted.
020 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) P1 <img src="assets/art/Public/Public/Pets/Horse.png" class="log-pet-icon" alt="Horse">(4/11/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(4/1/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/9/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
021 attack	Horse attacks Cow for 4.
022 attack	Cow attacks Horse for 4.
023 death	Cow fainted.
024 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) P1 <img src="assets/art/Public/Public/Pets/Horse.png" class="log-pet-icon" alt="Horse">(4/7/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/9/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
025 attack	Horse attacks Otter for 4.
026 attack	Otter attacks Horse for 2.
027 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) P1 <img src="assets/art/Public/Public/Pets/Horse.png" class="log-pet-icon" alt="Horse">(4/5/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/5/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
028 attack	Horse attacks Otter for 4.
029 attack	Otter attacks Horse for 2.
030 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) P1 <img src="assets/art/Public/Public/Pets/Horse.png" class="log-pet-icon" alt="Horse">(4/3/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(2/1/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
031 attack	Horse attacks Otter for 4.
032 attack	Otter attacks Horse for 2.
033 death	Otter fainted.
034 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(3/10/0xp) P1 <img src="assets/art/Public/Public/Pets/Horse.png" class="log-pet-icon" alt="Horse">(4/1/0xp) | ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
035 board	Player is the winner
