# f08-equipment-melon-peanut - Melon absorbs a big hit, Peanut knocks out on any damage
covers: equipment, melon shield break, peanut instant knockout, equipment icon on pet
deterministic=true randomDecisions=0 randomEventLogs=0 stableOver25Runs=true orderOnlyAmbiguity=false winner=player
--- expected event sequence (fork sim) ---
000 board	Phase 1: Before battle
011 death	Pig fainted.
012 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck"><img src="assets/art/Public/Public/Food/Peanut.png" class="log-inline-icon" alt="Peanut" onerror="if(!this.dataset.step){this.dataset.step='1';this.src='assets/art/Ailments/Ailments/Peanut.png';return;}this.remove()">(4/12/0xp) | O1 <img src="assets/art/Public/Public/Pets/Cow.png" class="log-pet-icon" alt="Cow">(8/4/0xp) O2 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(3/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
013 attack	Duck attacks Cow for 4. (Peanut)
014 attack	Cow attacks Duck for 8.
015 death	Cow fainted.
016 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck"><img src="assets/art/Public/Public/Food/Peanut.png" class="log-inline-icon" alt="Peanut" onerror="if(!this.dataset.step){this.dataset.step='1';this.src='assets/art/Ailments/Ailments/Peanut.png';return;}this.remove()">(4/4/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(3/8/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
017 attack	Duck attacks Otter for 4. (Peanut)
018 attack	Otter attacks Duck for 3.
019 death	Otter fainted.
020 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck"><img src="assets/art/Public/Public/Food/Peanut.png" class="log-inline-icon" alt="Peanut" onerror="if(!this.dataset.step){this.dataset.step='1';this.src='assets/art/Ailments/Ailments/Peanut.png';return;}this.remove()">(4/1/0xp) | ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
021 board	Player is the winner
