# f01-plain-trades - Plain trades, one death per clash, push forward on both sides
covers: plain trades, simultaneous clash, hurt popup, single faint, push forward
deterministic=true randomDecisions=0 randomEventLogs=0 stableOver25Runs=true orderOnlyAmbiguity=false winner=player
--- expected event sequence (fork sim) ---
000 board	Phase 1: Before battle
011 attack	Otter attacks Pig for 6.
012 board	___ (-/-) ___ (-/-) P3 <img src="assets/art/Public/Public/Pets/Swan.png" class="log-pet-icon" alt="Swan">(2/9/0xp) P2 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(3/8/0xp) P1 <img src="assets/art/Public/Public/Pets/Pig.png" class="log-pet-icon" alt="Pig">(4/1/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(6/5/0xp) O2 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/9/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
013 attack	Pig attacks Otter for 4.
014 attack	Otter attacks Pig for 6.
015 death	Pig fainted.
016 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Swan.png" class="log-pet-icon" alt="Swan">(2/9/0xp) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(3/8/0xp) | O1 <img src="assets/art/Public/Public/Pets/Otter.png" class="log-pet-icon" alt="Otter">(6/1/0xp) O2 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/9/0xp) ___ (-/-) ___ (-/-) ___ (-/-) 
017 attack	Duck attacks Otter for 3.
018 attack	Otter attacks Duck for 6.
019 death	Otter fainted.
020 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Swan.png" class="log-pet-icon" alt="Swan">(2/9/0xp) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(3/2/0xp) | O1 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/9/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
021 attack	Duck attacks Worm for 3.
022 attack	Worm attacks Duck for 1.
023 board	___ (-/-) ___ (-/-) ___ (-/-) P2 <img src="assets/art/Public/Public/Pets/Swan.png" class="log-pet-icon" alt="Swan">(2/9/0xp) P1 <img src="assets/art/Public/Public/Pets/Duck.png" class="log-pet-icon" alt="Duck">(3/1/0xp) | O1 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/6/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
024 attack	Duck attacks Worm for 3.
025 attack	Worm attacks Duck for 1.
026 death	Duck fainted.
027 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Swan.png" class="log-pet-icon" alt="Swan">(2/9/0xp) | O1 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/3/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
028 attack	Swan attacks Worm for 2.
029 attack	Worm attacks Swan for 1.
030 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Swan.png" class="log-pet-icon" alt="Swan">(2/8/0xp) | O1 <img src="assets/art/Public/Public/Pets/Worm.png" class="log-pet-icon" alt="Worm">(1/1/0xp) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
031 attack	Swan attacks Worm for 2.
032 attack	Worm attacks Swan for 1.
033 death	Worm fainted.
034 board	___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) P1 <img src="assets/art/Public/Public/Pets/Swan.png" class="log-pet-icon" alt="Swan">(2/7/0xp) | ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) ___ (-/-) 
035 board	Player is the winner
